"","gene_id","annotation"
"1","ENSG00000284662","protein_coding"
"2","ENSG00000186827","protein_coding"
"3","ENSG00000186891","protein_coding"
"4","ENSG00000160072","protein_coding"
"5","ENSG00000041988","protein_coding"
"6","ENSG00000260179","lncRNA"
"7","ENSG00000234396","lncRNA"
"8","ENSG00000225972","unprocessed_pseudogene"
"9","ENSG00000224315","processed_pseudogene"
"10","ENSG00000198744","unprocessed_pseudogene"
"11","ENSG00000279928","unprocessed_pseudogene"
"12","ENSG00000228037","lncRNA"
"13","ENSG00000142611","protein_coding"
"14","ENSG00000225630","unprocessed_pseudogene"
"15","ENSG00000067606","protein_coding"
"16","ENSG00000131584","protein_coding"
"17","ENSG00000227589","lncRNA"
"18","ENSG00000237402","lncRNA"
"19","ENSG00000284616","lncRNA"
"20","ENSG00000169972","protein_coding"
"21","ENSG00000157911","protein_coding"
"22","ENSG00000269896","transcribed_processed_pseudogene"
"23","ENSG00000237973","unprocessed_pseudogene"
"24","ENSG00000224051","protein_coding"
"25","ENSG00000228750","lncRNA"
"26","ENSG00000228463","transcribed_processed_pseudogene"
"27","ENSG00000238260","lncRNA"
"28","ENSG00000260972","lncRNA"
"29","ENSG00000157933","protein_coding"
"30","ENSG00000162591","protein_coding"
"31","ENSG00000224340","processed_pseudogene"
"32","ENSG00000270035","lncRNA"
"33","ENSG00000169962","protein_coding"
"34","ENSG00000226545","unprocessed_pseudogene"
"35","ENSG00000233653","processed_pseudogene"
"36","ENSG00000268663","processed_pseudogene"
"37","ENSG00000226374","lncRNA"
"38","ENSG00000116285","protein_coding"
"39","ENSG00000229280","processed_pseudogene"
"40","ENSG00000142655","protein_coding"
"41","ENSG00000232596","lncRNA"
"42","ENSG00000235054","lncRNA"
"43","ENSG00000232663","processed_pseudogene"
"44","ENSG00000284646","lncRNA"
"45","ENSG00000240409","unprocessed_pseudogene"
"46","ENSG00000229344","unprocessed_pseudogene"
"47","ENSG00000231510","lncRNA"
"48","ENSG00000149527","protein_coding"
"49","ENSG00000284739","lncRNA"
"50","ENSG00000007923","protein_coding"
"51","ENSG00000171621","protein_coding"
"52","ENSG00000272235","lncRNA"
"53","ENSG00000236679","processed_pseudogene"
"54","ENSG00000284694","lncRNA"
"55","ENSG00000162441","protein_coding"
"56","ENSG00000230021","transcribed_processed_pseudogene"
"57","ENSG00000271264","processed_pseudogene"
"58","ENSG00000287356","lncRNA"
"59","ENSG00000224387","lncRNA"
"60","ENSG00000187017","protein_coding"
"61","ENSG00000285629","protein_coding"
"62","ENSG00000173673","protein_coding"
"63","ENSG00000227372","transcribed_unitary_pseudogene"
"64","ENSG00000142583","protein_coding"
"65","ENSG00000223663","processed_pseudogene"
"66","ENSG00000107404","protein_coding"
"67","ENSG00000284674","lncRNA"
"68","ENSG00000177000","protein_coding"
"69","ENSG00000272161","lncRNA"
"70","ENSG00000237094","transcribed_unprocessed_pseudogene"
"71","ENSG00000069424","protein_coding"
"72","ENSG00000224338","processed_pseudogene"
"73","ENSG00000074800","protein_coding"
"74","ENSG00000234546","lncRNA"
"75","ENSG00000116786","protein_coding"
"76","ENSG00000287727","lncRNA"
"77","ENSG00000176022","protein_coding"
"78","ENSG00000223989","lncRNA"
"79","ENSG00000228423","lncRNA"
"80","ENSG00000286448","lncRNA"
"81","ENSG00000162496","protein_coding"
"82","ENSG00000237365","lncRNA"
"83","ENSG00000131686","protein_coding"
"84","ENSG00000229305","processed_pseudogene"
"85","ENSG00000284703","lncRNA"
"86","ENSG00000226457","processed_pseudogene"
"87","ENSG00000162494","protein_coding"
"88","ENSG00000173614","protein_coding"
"89","ENSG00000248527","unprocessed_pseudogene"
"90","ENSG00000237728","lncRNA"
"91","ENSG00000215720","processed_pseudogene"
"92","ENSG00000279804","protein_coding"
"93","ENSG00000116273","protein_coding"
"94","ENSG00000241326","lncRNA"
"95","ENSG00000285701","lncRNA"
"96","ENSG00000233623","processed_pseudogene"
"97","ENSG00000162592","protein_coding"
"98","ENSG00000116254","protein_coding"
"99","ENSG00000049245","protein_coding"
"100","ENSG00000179743","lncRNA"
"101","ENSG00000233645","lncRNA"
"102","ENSG00000234064","unprocessed_pseudogene"
"103","ENSG00000204624","protein_coding"
"104","ENSG00000284708","lncRNA"
"105","ENSG00000171603","protein_coding"
"106","ENSG00000280113","TEC"
"107","ENSG00000142606","protein_coding"
"108","ENSG00000235146","lncRNA"
"109","ENSG00000177674","protein_coding"
"110","ENSG00000162572","protein_coding"
"111","ENSG00000171608","protein_coding"
"112","ENSG00000225931","TEC"
"113","ENSG00000236601","lncRNA"
"114","ENSG00000171729","protein_coding"
"115","ENSG00000228150","lncRNA"
"116","ENSG00000175262","protein_coding"
"117","ENSG00000279457","unprocessed_pseudogene"
"118","ENSG00000162571","protein_coding"
"119","ENSG00000231181","processed_pseudogene"
"120","ENSG00000238173","processed_pseudogene"
"121","ENSG00000158109","protein_coding"
"122","ENSG00000229393","lncRNA"
"123","ENSG00000269978","lncRNA"
"124","ENSG00000037637","protein_coding"
"125","ENSG00000184163","protein_coding"
"126","ENSG00000287586","lncRNA"
"127","ENSG00000159423","protein_coding"
"128","ENSG00000142599","protein_coding"
"129","ENSG00000227169","lncRNA"
"130","ENSG00000283356","unprocessed_pseudogene"
"131","ENSG00000011021","protein_coding"
"132","ENSG00000272482","lncRNA"
